that , subWordCount:  2 , tha, hat, 
virginia , subWordCount:  13 , virgin, ign, gina, viii, via, gin, rna, iii, ira, vga, vii, gia, vin, 
almost , subWordCount:  14 , ams, los, lost, mst, als, amt, alt, alot, amos, mos, mot, ast, lot, most, 
took , subWordCount:  1 , too, 
located , subWordCount:  15 , locate, cad, ltd, lat, oct, cat, ted, lcd, ate, led, lad, lot, loc, load, late, 
multiple , subWordCount:  15 , til, multi, lip, tip, util, tile, mule, tie, mute, lil, mile, ile, lie, mil, utp, 
asian , subWordCount:  8 , asa, asia, asin, asn, asi, san, sin, ian, 
distribution , subWordCount:  47 , rbi, din, ron, ist, bin, tit, trio, itu, tin, sin, dion, stu, son, sti, dst, ion, str, dir, iron, bio, don, ruin, sri, iso, ibn, dui, ton, sto, but, sun, bon, dist, iii, sit, dun, tion, rib, tri, isbn, rio, dit, run, duo, dis, sion, sbin, dirt, 
editor , subWordCount:  7 , dior, edi, edt, tor, dir, edit, dit, 
industrial , subWordCount:  46 , url, ida, isa, dia, usr, tia, indi, ist, intl, intra, nut, uri, dal, ins, sti, dsl, dst, str, stl, ids, dual, sri, tal, trial, sal, ind, dui, til, isl, srl, dsa, dial, dust, nsa, usa, tri, int, nil, inst, util, ira, nur, tra, india, sta, ita, 
cause , subWordCount:  5 , cas, use, case, cue, aus, 
potential , subWordCount:  28 , tia, tent, potent, ttl, poe, pol, pet, eta, tal, ont, til, ent, pal, pen, pea, pot, ten, nil, pei, pta, tea, pte, oil, tnt, eia, poet, tel, teal, 
song , subWordCount:  1 , son, 
cnet , subWordCount:  2 , net, cet, 
late , subWordCount:  2 , lat, ate, 
fall , subWordCount:  1 , all, 
featured , subWordCount:  26 , feed, ftd, fte, ted, fat, eat, aud, fred, fed, fare, fate, ear, eau, are, fur, red, fre, feat, ate, eur, far, tue, fee, feared, feature, fear, 
idea , subWordCount:  3 , ida, ide, dea, 
rooms , subWordCount:  5 , roms, ros, room, rom, rms, 
female , subWordCount:  6 , mal, fee, fema, mae, ale, male, 
responsible , subWordCount:  55 , rosie, nib, esl, pos, ron, robe, resp, enb, pile, reps, rob, eps, rei, poe, ssl, sie, pol, son, ess, ren, res, roi, response, ile, espn, rene, nie, ssi, eos, sle, sons, nile, soil, ons, sol, pose, pie, rib, ros, rose, nil, roe, psi, sole, sos, rel, role, one, oil, ole, esp, rss, pole, spi, rep, 
communications , subWordCount:  130 , mins, mains, mus, coat, ics, mio, como, mos, cans, nations, ict, ian, icons, nos, ons, count, com, coins, mans, mia, comm, cmos, mais, outs, mmc, cot, unions, onion, con, tos, cain, coats, cit, comma, cca, cnn, tis, tin, mnt, mis, mit, nan, conn, coca, communication, ions, cio, ats, tion, coma, cao, onions, ans, cis, mic, nato, cation, cats, mats, cunt, mat, coin, cts, cnc, commits, unc, comics, nat, cocos, una, nic, ion, unit, common, icon, mai, ton, oman, cons, its, otis, cia, counts, comic, mci, ciao, cuts, non, cas, units, cont, nis, iis, uno, commit, cms, ati, coco, conan, union, mao, commons, ins, ios, cut, cat, oct, nation, omni, omit, min, ont, can, mon, tons, coa, man, uni, onto, cos, nas, unto, cns, main, mms, communion, tions, out, mas, mca, 
associated , subWordCount:  43 , cite, aid, scat, cit, cited, sca, ted, asst, acad, acted, sie, soa, asia, sat, oct, cat, sad, asi, ssi, sci, site, sid, std, cid, ssa, asa, cia, sst, aca, sit, ate, ast, acid, cad, assoc, soc, ste, ace, sed, act, ass, associate, asc, 
thomas , subWordCount:  9 , has, tos, tha, tom, hms, tas, tho, ths, mas, 
primary , subWordCount:  11 , pri, pay, pray, ray, mar, pim, may, prima, mary, rim, par, 
cancer , subWordCount:  8 , cane, car, ncr, acer, ace, cnc, cac, can, 
numbers , subWordCount:  12 , nes, uber, mrs, nrs, nmr, mes, num, nur, ers, ber, mer, number, 
reason , subWordCount:  11 , eas, ean, rea, ron, son, ren, res, asn, rao, ran, ras, 
tool , subWordCount:  1 , too, 
browser , subWordCount:  17 , rows, bows, bros, roe, bow, rowe, browse, ser, owe, bse, bro, bose, ros, row, rose, bos, ber, 
spring , subWordCount:  14 , pri, sig, ing, pin, ring, spi, pig, sri, spin, sing, png, sin, ping, rig, 
foundation , subWordCount:  39 , din, fund, fno, ati, foo, fat, union, tin, nat, una, dion, fao, ion, nation, nan, don, fin, dat, dan, foto, ont, ton, fan, und, found, tion, uni, onto, unto, non, nato, fond, undo, font, fda, fun, uno, out, onion, 
answer , subWordCount:  4 , nsw, awe, ser, ans, 
voice , subWordCount:  5 , vic, voc, vice, ice, vie, 
friendly , subWordCount:  20 , rey, rel, rely, fried, fred, fed, end, ren, red, indy, friend, fre, fri, rid, frey, fin, fly, find, fry, ind, 
schedule , subWordCount:  15 , edu, sch, cle, due, hee, sue, chu, she, che, shed, sdl, sed, sle, cue, see, 
documents , subWordCount:  52 , dome, met, cms, mes, docume, dot, dns, dcs, dots, dom, dos, det, dues, cut, oct, mnt, mens, don, does, due, ont, doe, ons, ent, den, men, dun, cen, document, ment, cme, mets, cuts, ments, ces, cns, dts, docs, cet, cents, cent, dent, cunt, cues, cum, des, outs, cts, cue, dont, doc, out, 
communication , subWordCount:  78 , cain, commit, cit, cnc, onion, comma, ati, coat, unc, cca, cnn, coco, conan, union, tin, nat, mao, una, nic, mio, ion, cut, cat, oct, nation, unit, mnt, nan, common, mit, icon, conn, ict, omit, omni, coca, mai, ian, min, ton, oman, can, mon, ont, cia, comic, cio, mci, coa, com, man, count, ciao, tion, uni, onto, coma, cao, non, unto, mic, nato, cation, main, mia, cont, cunt, mat, comm, coin, como, mmc, uno, communion, con, cot, out, mca, 
purpose , subWordCount:  15 , pos, pps, ups, pre, pure, use, pose, pros, ros, purse, pro, rose, roe, prose, poe, 
feature , subWordCount:  17 , far, are, fare, tue, fur, fee, fte, fre, fate, feat, ate, ear, eat, eur, fat, eau, fear, 
comes , subWordCount:  8 , cms, com, mes, coe, come, cos, cme, ces, 
police , subWordCount:  10 , pol, lic, ole, plc, pie, lie, pole, pic, ice, poe, 
everyone , subWordCount:  14 , eye, ron, evo, one, von, rye, eve, very, ver, ever, even, roe, een, every, 
independent , subWordCount:  28 , depend, inn, dee, dept, een, det, indeed, end, need, penn, pet, ide, eden, ind, ent, pee, den, pen, deed, int, dep, edt, dent, ieee, dependent, net, pdt, ned, 
approach , subWordCount:  18 , pac, proc, apc, prac, apo, rac, app, arch, arc, apa, roc, apr, och, pro, aac, prc, ppc, roach, 
cameras , subWordCount:  26 , cars, ama, cms, mes, cam, cams, ames, caa, ars, mrs, ams, car, era, crs, amer, ers, came, cme, mer, ces, eas, cas, aes, camera, ras, mas, 
brown , subWordCount:  6 , own, ron, bow, bon, bro, row, 
physical , subWordCount:  15 , sic, phs, phys, phil, cal, pal, phi, hcl, psa, pic, sca, psc, hal, sal, psi, 
operating , subWordCount:  40 , rai, peg, ora, ati, opera, eat, tin, pain, pri, pet, era, pig, rat, png, opt, eating, orig, rag, ean, open, rating, pen, pea, erin, rain, ing, per, pan, pei, ran, org, eng, rang, pat, ang, ein, pin, ring, ping, rig, 
hill , subWordCount:  1 , ill, 
maps , subWordCount:  4 , mps, aps, mas, map, 
medicine , subWordCount:  15 , edi, din, eine, mci, men, mice, mine, ein, med, die, dine, ice, dice, min, mic, 
deal , subWordCount:  3 , dea, del, dal, 
hold , subWordCount:  1 , old, 
ratings , subWordCount:  22 , rai, ati, tis, tin, ins, rat, rag, rats, rating, ats, rain, ing, ans, ran, rts, rings, rang, ang, rains, ring, ras, rig, 
chicago , subWordCount:  11 , chic, cia, chi, cio, cha, ciao, cca, cao, cho, ago, chico, 
forms , subWordCount:  4 , rms, for, form, ors, 
glass , subWordCount:  3 , las, ass, gas, 
happy , subWordCount:  2 , app, hay, 
smith , subWordCount:  3 , mit, sith, sit, 
wanted , subWordCount:  11 , wed, want, and, wand, ate, ted, wan, wat, ned, ante, ant, 
developed , subWordCount:  16 , develop, evo, deep, dvd, dlp, dee, del, vel, devel, deed, led, dod, eve, dev, doe, dep, 
thank , subWordCount:  7 , tan, han, tank, tha, hank, thn, than, 
unique , subWordCount:  5 , une, niue, que, uni, nie, 
survey , subWordCount:  5 , rey, sure, suv, sue, sur, 
prior , subWordCount:  4 , pri, por, rio, pro, 
telephone , subWordCount:  25 , teh, leon, lon, tho, thn, leo, een, poe, tele, leone, lone, phone, tee, len, ton, toe, lee, the, ten, phe, teen, hon, one, tone, tel, 
sport , subWordCount:  5 , por, sort, pot, spot, port, 
ready , subWordCount:  6 , rey, rea, ray, red, read, rad, 
feed , subWordCount:  2 , fee, fed, 
animal , subWordCount:  6 , mal, anal, ama, aim, ana, nil, 
sources , subWordCount:  19 , sore, sure, srs, soc, rcs, sus, sour, source, sue, src, res, ore, sur, ors, our, ses, ours, ces, sos, 
mexico , subWordCount:  4 , mio, exc, eco, mic, 
population , subWordCount:  33 , lao, lat, ati, lin, patio, lon, tin, pop, pain, pol, lion, ion, plan, ppl, lai, put, opt, ton, plat, ppt, latin, tion, pot, pan, pat, polo, lan, plain, pin, plato, option, out, putin, 
regular , subWordCount:  6 , rel, rea, ear, eur, rear, reg, 
secure , subWordCount:  12 , cure, cue, sure, scr, ser, sue, sur, cre, eur, see, cur, sec, 
navigation , subWordCount:  34 , vaio, nav, via, ngo, vain, again, ati, gain, vga, vii, tin, nat, von, ion, nation, van, vat, nan, gao, ian, ton, ign, avi, gin, avian, tion, gan, non, vin, nato, aviation, avon, avg, ago, 
operations , subWordCount:  77 , rai, tos, eats, pos, ron, pts, oro, opera, ora, ati, pers, patio, eat, tis, tin, pain, pri, pans, eis, ins, ios, ion, pet, ratios, ops, era, pens, tions, pros, opens, pas, rat, eos, opt, ers, ton, ions, tons, otis, ean, peas, ons, open, rats, raton, pen, pea, ats, ratio, rain, erin, tion, orion, ros, per, ans, pains, pan, pei, rts, rio, rao, pets, ors, eas, pat, ran, operation, options, rains, ein, pins, pin, pro, eaton, option, ras, 
therefore , subWordCount:  28 , err, ther, her, href, ref, hero, tho, for, treo, tree, thee, tee, thr, thor, toe, there, fore, here, fre, the, ter, theo, roe, three, tor, ore, terre, hee, 
simply , subWordCount:  7 , spy, ply, imp, imply, smp, sim, sip, 
evidence , subWordCount:  21 , dee, vid, iec, ice, een, vince, ide, eden, even, idc, den, vine, vice, dec, inc, vie, vin, vic, eine, ein, eve, 
station , subWordCount:  21 , stain, ati, sin, tin, son, sti, ion, tao, san, ton, sto, tan, sao, stan, tion, satin, stat, tai, sat, sion, sta, 
christian , subWordCount:  40 , chi, hsn, isa, cit, tia, ist, hit, chan, sin, tin, chr, hist, chit, sti, chris, crs, his, csi, rita, chin, crn, san, ian, can, csa, rsa, tan, cia, hrs, stan, crt, ran, christ, cis, han, christi, cst, cha, sta, ita, 
round , subWordCount:  4 , und, ron, run, rod, 
paypal , subWordCount:  6 , pay, pal, apa, pap, papa, ppl, 
favorite , subWordCount:  29 , fte, fat, for, ave, fav, art, fare, fao, fate, favor, fort, vote, avi, are, fore, avr, fri, fre, ari, ate, fit, far, vie, forte, arte, ore, rite, fave, vor, 
understand , subWordCount:  51 , dad, une, nest, dead, esd, rad, esa, una, det, nad, end, dst, nerd, sad, era, nan, stand, eta, dan, san, est, rand, std, ers, nes, esta, ean, tan, under, dsa, usd, rsa, nrs, und, sand, den, and, stan, nsa, usa, dea, ran, dtd, urn, dean, der, net, des, tad, ned, sta, 
option , subWordCount:  6 , ion, tion, pin, opt, tin, ton, 
master , subWordCount:  14 , mast, mate, str, ser, mst, ste, mat, mar, ter, ate, mae, ast, mer, mas, 
valley , subWordCount:  7 , vale, alley, ale, val, alle, all, ally, 
recently , subWordCount:  15 , rec, rey, rel, rely, ent, cet, cent, ren, recent, ect, ret, cen, rent, een, reel, 
probably , subWordCount:  15 , pay, poly, pol, pray, pal, poy, baby, bal, ray, ply, roy, rob, pro, bay, prob, 
rentals , subWordCount:  21 , rental, rents, rea, tls, ren, res, eta, tal, renal, ent, rna, tas, nas, rts, eas, rel, als, ret, rent, real, ras, 
built , subWordCount:  2 , bit, but, 
publications , subWordCount:  105 , lit, pic, lon, pain, puts, pcs, ics, cans, ict, ian, pics, pit, icons, ons, pubs, pcos, bits, plat, bans, bat, bios, las, pits, pbs, plc, pin, bit, bos, putin, con, tos, pts, cain, lin, patio, tis, tin, lai, pas, ions, publication, cio, ats, tion, cao, ans, pan, cis, cation, cats, los, publ, plain, cts, bins, pos, ubc, pans, ion, bis, bio, icon, ton, its, cons, latin, pat, cas, lic, ban, pins, bias, plato, iis, laos, pci, pct, lao, plans, lat, bas, ati, bin, baton, lion, ins, ios, plan, cat, lis, put, public, can, tons, bats, bon, pls, cos, pains, lions, plains, cns, pub, lan, tions, 
blood , subWordCount:  2 , bod, boo, 
worldwide , subWordCount:  22 , old, wow, rid, lid, dwi, ide, wwe, odd, wide, wie, ride, lie, ode, world, word, did, ore, owe, wore, ole, ord, die, 
improve , subWordCount:  15 , rove, ive, moe, roe, pre, imp, ire, prove, mov, prov, pro, ipo, imo, move, poe, 
connection , subWordCount:  34 , ceo, cnn, nec, coco, tin, connect, econ, ion, oct, eco, conn, neo, ont, ton, cio, coe, tion, onto, cone, cen, non, cet, one, cont, ect, cnet, neon, ein, coin, net, cnc, con, cot, onion, 
publisher , subWordCount:  26 , user, usr, her, ser, bis, pulse, lis, ish, uber, pubs, use, pie, lie, pls, per, phe, push, ber, usher, pier, pub, publ, pbs, bse, publish, she, 
hall , subWordCount:  2 , all, hal, 
larger , subWordCount:  7 , are, ger, age, arr, lag, arg, large, 
anti , subWordCount:  2 , ant, ati, 
networks , subWordCount:  21 , tos, two, works, network, nok, nets, eos, neo, ers, nws, nes, nos, nrs, wks, nor, work, new, tor, news, net, ors, 
earth , subWordCount:  3 , art, ear, eat, 
parents , subWordCount:  34 , rents, pant, pts, parts, pants, par, pres, ars, art, pans, ren, pet, arts, res, pens, ants, part, pas, ares, are, ent, pre, pen, ats, ans, pan, rts, pets, pat, parent, aes, ret, rent, ant, 
nokia , subWordCount:  3 , kia, oki, nok, 
impact , subWordCount:  14 , pac, pct, mpc, imc, pact, imac, mat, imp, mpa, ipc, ict, mac, act, pat, 
transfer , subWordCount:  15 , tran, nsf, asf, raf, tan, ser, tra, ter, tar, ans, tas, trans, ran, rae, ras, 
introduction , subWordCount:  56 , din, ron, inn, indi, nrc, intro, itc, nut, itu, tin, irc, trio, dion, notion, toon, rot, ion, oct, toc, iron, roi, icon, don, ruin, ict, rod, ind, dui, noun, ton, idc, cio, todo, noon, too, dun, induction, tion, tri, int, rio, non, duct, trout, run, inc, nod, duo, roc, not, indo, tot, con, out, tout, into, 
kitchen , subWordCount:  15 , chen, thn, kin, kite, kit, ken, itc, then, the, che, cen, hen, ten, ice, ich, 
strong , subWordCount:  7 , sto, song, ron, son, str, trong, ton, 
carolina , subWordCount:  32 , ron, aria, cain, cal, carla, cola, cli, lin, arin, coli, ala, caa, clin, car, cron, roi, crn, carol, can, aol, cia, coa, rna, cao, ali, ari, col, colin, ana, coin, carl, con, 
wedding , subWordCount:  13 , edi, ding, din, wed, wei, wen, dig, ing, ein, win, wig, wing, eng, 
properties , subWordCount:  57 , prot, pos, pts, pete, tie, pers, pies, tis, rei, pop, poe, pres, pri, eis, poets, rot, pet, prop, res, pope, roi, ops, ports, pros, opt, tes, erie, ers, otis, pps, pee, rope, pre, por, ppt, pie, ties, pot, per, ros, ropes, roe, pei, rts, port, pets, pops, pte, props, ore, pots, ret, pro, ors, ies, poet, proper, 
hospital , subWordCount:  21 , opal, hit, hal, stl, tal, sal, opt, pit, hop, hot, pal, sit, pta, spit, hpa, oil, host, spa, spi, sta, ita, 
ground , subWordCount:  8 , gun, ron, und, god, gnd, round, rod, run, 
overview , subWordCount:  7 , view, ore, ver, over, eve, erie, vie, 
ship , subWordCount:  3 , shi, sip, hip, 
accommodation , subWordCount:  66 , ccm, ama, din, cain, comma, ati, acct, cod, cca, ada, coat, moto, ammo, tin, mao, cot, dion, mio, ami, ion, cat, como, moon, common, don, dat, dan, mod, mai, min, ton, oman, can, mon, cio, ccd, coa, com, man, ooo, aca, amt, accomodation, coma, cao, tion, moo, mdt, mda, mot, action, cation, main, moi, acm, cmd, mat, comm, amd, coin, acc, motion, cdt, act, cdn, con, 
owners , subWordCount:  12 , nes, owner, own, ons, nrs, one, owns, owe, wes, ors, ones, ers, 
disease , subWordCount:  20 , eas, das, dsa, sea, isa, dia, seas, dee, dss, dies, iss, see, sas, die, dis, des, dea, ease, ies, ses, 
excellent , subWordCount:  18 , excel, ent, cet, excl, cle, cent, let, ect, ext, cell, exe, ellen, cen, elle, lent, exc, len, een, 
paid , subWordCount:  3 , pad, aid, pid, 
italy , subWordCount:  3 , tal, ity, ita, 
perfect , subWordCount:  12 , rec, pct, pee, pre, pet, ect, erect, ret, per, pfc, prc, rfc, 
hair , subWordCount:  3 , har, air, hai, 
opportunity , subWordCount:  25 , punt, tit, pri, unity, pty, unit, opp, put, opt, pit, pity, ont, por, ppt, uni, pot, ity, tty, port, run, tnt, poy, porn, pony, out, 
classic , subWordCount:  18 , sic, ssi, cas, class, lic, clic, css, csc, cli, lac, csi, lai, asi, cac, las, cass, ass, asc, 
basis , subWordCount:  6 , bis, bas, bass, asi, sis, ass, 
command , subWordCount:  15 , mad, oman, cad, coa, com, man, and, comm, comma, coma, cod, cond, cmd, can, con, 
cities , subWordCount:  13 , cite, cites, cit, cis, tie, ties, cts, iis, ies, tis, tes, ces, its, 
william , subWordCount:  6 , wil, lim, liam, lam, ill, will, 
express , subWordCount:  11 , pres, ess, pre, res, xpress, rss, exe, eps, press, ers, exp, 
anal , subWordCount:  1 , ana, 
award , subWordCount:  2 , ward, war, 
distance , subWordCount:  34 , din, isa, dia, diane, ist, dance, disc, ice, itc, dice, stance, dst, dane, dan, sac, san, ian, dsa, tan, dist, stan, tac, dit, inc, dac, dsc, ste, ace, die, dine, sane, dis, sta, ita, 
tree , subWordCount:  1 , tee, 
peter , subWordCount:  8 , pte, pee, pet, pete, peer, ter, per, ptr, 
assessment , subWordCount:  30 , assess, met, asses, sent, asst, een, amen, ess, mnt, sem, est, asm, asset, ent, seen, men, set, sme, sst, amt, sen, ment, see, ast, aes, aest, asn, ses, ass, ant, 
ensure , subWordCount:  6 , sure, sue, nur, sur, eur, nsu, 
thus , subWordCount:  2 , ths, thu, 
wall , subWordCount:  2 , all, wal, 
involved , subWordCount:  11 , ive, old, nod, nov, involve, ole, vol, ile, led, ned, ind, 
extra , subWordCount:  4 , tra, ext, eta, era, 
especially , subWordCount:  38 , pay, seal, esl, cal, special, epa, sca, esa, sea, esc, spy, spell, sally, sci, sal, ally, sec, say, cia, pal, pea, spill, ply, ill, pei, silly, call, specially, sell, pill, eia, spa, esp, spc, spi, spec, all, pci, 
interface , subWordCount:  30 , face, rac, nrc, ire, iec, nec, inter, intra, ice, itc, rae, irc, inf, era, tee, race, rfc, trace, fac, tac, ter, int, tea, inc, trac, ace, ira, tra, tec, ita, 
pussy , subWordCount:  2 , uss, psy, 
partners , subWordCount:  34 , pts, arr, pers, parts, par, pres, ars, art, pans, arts, res, part, pas, ares, tes, ers, nes, pane, are, nrs, pre, ats, ter, per, ate, ans, partner, pan, ptr, rts, pat, pte, aes, arte, 
budget , subWordCount:  6 , det, but, bug, get, bud, bet, 
rated , subWordCount:  7 , rate, red, ate, ted, rad, rat, rae, 
guides , subWordCount:  9 , gui, ide, gis, uid, ids, guide, des, gus, ies, 
success , subWordCount:  7 , ess, uss, sus, sue, css, ses, ces, 
maximum , subWordCount:  7 , maxim, aim, max, mum, mmm, maxi, mai, 
operation , subWordCount:  39 , rai, ron, oro, opera, ora, ati, patio, eat, tin, pain, pri, ion, pet, era, rat, opt, ton, ean, open, raton, pen, pea, erin, ratio, rain, tion, orion, per, pan, pei, rao, rio, ran, pat, ein, pin, pro, eaton, option, 
existing , subWordCount:  16 , sting, sig, exit, exist, eis, sti, ing, ein, ext, ist, xii, est, sing, sin, tin, eng, 
quite , subWordCount:  3 , que, quit, qui, 
selected , subWordCount:  21 , ted, let, sle, std, sec, elect, lee, select, set, lec, lcd, led, see, seed, elected, ltd, sect, ste, ect, elec, sed, 
amazon , subWordCount:  4 , ama, mon, man, mao, 
patients , subWordCount:  51 , pant, pts, tens, tent, ati, tie, tit, pies, pants, tis, tin, pain, patents, pans, patent, ins, pet, tits, pens, ants, pas, pit, tes, its, ent, pen, patient, ats, pie, ties, paint, tents, ten, ate, ans, pan, pains, int, att, pint, pets, pat, pte, pits, aes, tnt, pin, pins, paints, ies, ant, 
restaurants , subWordCount:  91 , aura, rents, rus, eat, esa, ars, ren, str, era, eta, ear, san, ers, rats, turns, earns, sars, tas, eur, run, tnt, urn, tra, ret, rest, ant, star, rea, sans, art, res, est, rat, suns, aus, esta, rsa, ats, returns, ans, tau, rts, eas, return, sara, rent, sat, ras, sts, eats, aut, tar, runs, tara, restart, rear, rests, sus, staa, stats, turn, starts, tan, restaurant, stan, earn, ran, rants, sas, srs, rant, stars, stu, ess, arts, ants, sur, trans, eau, stunt, tran, ean, ent, sun, sar, ears, stat, aunt, rss, start, sta, 
beautiful , subWordCount:  21 , bea, aut, bal, ati, eat, bel, afl, auf, eau, til, buf, utf, but, beau, bat, atl, util, bail, bet, bei, beat, 
warning , subWordCount:  16 , wang, ann, ang, wai, wan, ing, win, warn, ring, wig, arin, ari, wing, arg, war, rig, 
wine , subWordCount:  2 , win, wie, 
locations , subWordCount:  53 , location, loans, tos, lao, cain, lat, ati, loan, lin, lon, tis, tin, lotion, lion, ins, ios, ion, oct, cat, lois, lis, cans, lai, ton, can, ions, tons, otis, cons, ons, cio, ats, lots, latin, tion, cao, cos, ans, las, lions, cis, cns, cats, cas, cation, los, lan, cts, tions, lot, loc, laos, con, 
horse , subWordCount:  4 , ore, ors, hose, hrs, 
forward , subWordCount:  10 , ward, fra, ford, ord, ora, fwd, war, rad, for, far, 
flowers , subWordCount:  14 , lowe, los, lower, flower, owe, lows, flow, wes, les, low, flows, ors, for, ers, 
stars , subWordCount:  11 , star, srs, str, sars, tar, tas, sar, sas, ars, sta, sts, 
significant , subWordCount:  40 , sig, inn, scat, sca, fat, giant, nat, sin, gift, infant, sic, inf, nic, cat, nan, fin, ict, san, ian, can, fan, ign, scan, fiat, gin, iii, sit, sign, gan, fit, int, sgt, sgi, gia, inc, init, gif, cant, sat, ant, 
lists , subWordCount:  7 , lit, iss, ist, lis, its, list, sts, 
technologies , subWordCount:  69 , chi, this, tos, tls, teh, tens, tie, lies, cho, cli, coli, tho, thn, tis, hole, eis, logs, cole, tele, eco, lois, log, tech, his, che, lis, nie, tee, techno, eos, hog, ths, gis, tes, toes, hes, nes, toe, nos, tees, techs, coe, too, the, ties, lie, echo, cos, ten, cis, eng, ces, cns, eli, los, cle, tcl, col, echoes, cgi, nis, ole, les, holes, tec, ecs, ies, tel, chloe, 
owner , subWordCount:  3 , own, owe, one, 
retail , subWordCount:  12 , rel, til, rea, rai, tai, tail, eta, ret, rail, tal, real, rei, 
animals , subWordCount:  16 , anal, mal, ama, aim, ams, mas, ana, mls, nis, als, animal, nil, ans, nas, ims, aims, 
useful , subWordCount:  1 , use, 
directly , subWordCount:  24 , rey, ire, iec, dry, irc, dire, det, dir, ict, diy, rely, del, direct, ity, dirty, dec, dit, rec, rel, ect, ret, die, diet, dirt, 
manufacturer , subWordCount:  57 , face, mana, mare, fact, aut, fte, arr, mar, uae, mac, fat, cre, nut, nat, act, fare, mfr, mnt, aft, mute, fate, mfc, manure, mae, auf, cure, are, mate, fac, fur, ncr, man, acre, fre, ter, ate, cur, mer, far, mft, mature, tue, ana, acer, mat, ace, after, nature, nur, manufacture, aac, cue, afc, ctr, nate, ante, ant, 
ways , subWordCount:  2 , way, was, 
providing , subWordCount:  28 , din, ron, vid, rid, pong, vii, pri, idg, pod, dig, roi, pig, rod, png, prod, ding, ing, prov, prog, pid, riding, vin, pin, ring, pro, proving, ping, rig, 
rule , subWordCount:  1 , rue, 
housing , subWordCount:  12 , sig, hsn, hung, hong, hon, hug, hun, ing, sing, hog, sin, using, 
takes , subWordCount:  4 , take, tas, tes, aes, 
bring , subWordCount:  5 , big, bin, ing, ring, rig, 
catalog , subWordCount:  10 , cal, cat, log, cao, tag, tao, tal, ata, atl, caa, 
searches , subWordCount:  38 , search, srs, arc, secs, ars, sea, seas, ser, arch, src, res, che, acs, ear, sac, ares, sec, each, ers, hes, sees, sch, are, sars, sar, rcs, see, ears, ces, eas, aes, sears, ace, she, ses, ecs, sas, aces, 
trying , subWordCount:  8 , try, ing, tying, ring, tri, yin, tin, rig, 
mother , subWordCount:  9 , moe, ther, other, the, ter, her, thr, mot, mer, 
authority , subWordCount:  26 , aut, tory, ati, tort, tit, hit, tho, uri, tot, art, thr, thor, hot, try, tori, thy, ity, auth, ari, tri, tty, att, toy, tor, author, auto, 
considered , subWordCount:  49 , side, dee, ire, cod, sir, cre, cir, sie, code, need, ser, consider, odd, core, ide, cor, oder, nerd, cider, csi, nie, cond, coded, sid, sire, cid, cons, csr, ons, red, coe, cone, ode, cos, deed, cord, see, seed, cns, one, coed, ore, ord, cdr, sed, der, sided, ned, con, 
told , subWordCount:  1 , old, 
traffic , subWordCount:  14 , raf, trac, ric, rai, tai, rac, tic, tac, tra, ffi, tri, afc, aff, rfc, 
programme , subWordCount:  20 , pam, program, ram, roe, pre, pga, por, ore, ora, game, gram, pro, prog, gre, prom, rom, gam, rae, rome, poe, 
joined , subWordCount:  7 , one, ned, joe, jon, join, jin, ind, 
input , subWordCount:  3 , put, nut, int, 
strategy , subWordCount:  24 , rey, tate, rae, str, rat, rate, stay, say, rag, stag, ray, try, stray, tag, ate, tray, tty, reg, stat, ste, state, tra, sat, sta, 
feet , subWordCount:  1 , fee, 
agent , subWordCount:  5 , ent, age, get, gen, ant, 
valid , subWordCount:  5 , aid, vid, val, ali, lid, 
modern , subWordCount:  10 , mon, moe, den, mode, men, oder, ode, der, mod, mer, 
senior , subWordCount:  6 , ser, snr, sir, seo, sen, nor, 
ireland , subWordCount:  19 , rel, rand, ean, rea, end, iran, ren, red, lan, and, ire, ira, land, read, rad, lad, ran, ian, ind, 
sexy , subWordCount:  1 , sex, 
teaching , subWordCount:  24 , chi, teh, ching, thn, tin, tec, tech, chin, each, ean, tan, ing, thin, tac, tag, ten, tea, thing, eng, tai, tang, ang, ein, teach, 
door , subWordCount:  1 , doo, 
grand , subWordCount:  8 , rand, gran, grad, and, gnd, gan, ran, rad, 
testing , subWordCount:  14 , tin, sting, test, sig, sti, ing, ein, ten, est, sing, sin, tes, eng, tsn, 
trial , subWordCount:  5 , til, tia, tra, tri, tal, 
charge , subWordCount:  13 , chr, are, car, cage, har, age, che, char, cre, arg, cha, care, hare, 
units , subWordCount:  4 , uni, nis, unit, its, 
instead , subWordCount:  20 , inst, nad, sea, isa, ins, ste, ned, std, sad, nsa, ist, ted, sed, int, tea, tad, isd, ind, sta, ita, 
canadian , subWordCount:  19 , aaa, cia, nad, din, cain, dia, ann, ana, cad, canada, cdn, and, cnn, nan, ada, caa, dan, ian, can, 
cool , subWordCount:  1 , col, 
normal , subWordCount:  8 , mal, norm, ora, nom, norma, nor, nora, oral, 
wrote , subWordCount:  2 , roe, rot, 
enterprise , subWordCount:  28 , err, enter, tie, tis, eps, pri, terri, eis, enters, npr, nie, tee, erie, tes, ers, nes, ent, nrs, entre, pre, pie, ter, rise, tri, ntp, terre, nis, erp, 
ships , subWordCount:  8 , shi, ips, ship, hip, his, hips, sis, sip, 
entire , subWordCount:  6 , ent, entre, tire, tie, ire, nie, 
